epoch,loss,lr,val_loss
0,14.667014636036294,0.001,13.090327939489859
1,259.8160753542261,0.001,18.2524834639442
2,14.141124272182285,0.001,13.296417069114517
3,13.699992187815285,0.001,12.913483708395102
4,13.53635914365594,0.001,12.878989900092916
5,13.65059430556205,0.001,12.650910480095153
6,13.083169929501892,0.001,12.430827593779947
7,12.828344362608602,0.001,12.18288200637402
8,12.679649897769616,0.001,12.323838797019091
9,12.589220453426853,0.001,12.060167201396558
10,12.816560532109156,0.001,12.423841121807454
11,12.5161659789969,0.001,12.042429542635338
12,12.259056721065193,0.001,11.942692190172165
13,12.248720573714305,0.001,11.789229614674438
14,12.097485790709348,0.001,13.231936738404261
15,13.535389336573175,0.001,13.465906170588237
16,13.35983992971018,0.001,12.986318683280206
17,13.445158175665185,0.0005,12.70622283945556
18,13.003223336364606,0.0005,12.732708223579985
19,12.91008811868109,0.0005,12.383030805153
20,12.700054662209645,0.00025,12.309781206580762
21,12.542886028496232,0.00025,12.178511936854596
22,12.460287772041339,0.00025,12.132624470894358
23,12.300463550151001,0.000125,12.030292952635438
